source_path_or_object_class,legacy_token_family,legacy_meaning,target_codex_concept,support_disposition,lossiness_class,provenance_requirement,validation_requirement,downstream_owner,notes
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/core_rulebook.pcc,PCC include directives,Campaign root and include graph for the pilot corpus.,GE-02 source package manifest and include graph,deferred,none-expected,Preserve source file path plus include edge and source line for each include.,A future importer reconstructs the same package/include graph for the pilot corpus.,GE-02 + GE-03,Grounded in core_rulebook.pcc lines 42-43 and 90-96.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_races.lst,RACE object + Human entry,"Defines the pilot Human race with movement, base size, racial-trait linkage, template, and PC markers.",GE-02 race object,deferred,none-expected,"Preserve file path, entry name, and token-level lineage for MOVE / FACT / TEMPLATE fields.",Human can be represented in canonical model terms without copying LST syntax directly.,GE-02 + GE-03,Grounded in human_races.lst line 6.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_classes.lst,CLASS object + Fighter entry,"Defines Fighter progression, BAB/save formulas, and class identity markers.",GE-02 class object,deferred,unknown-risk,"Preserve file path, entry name, and formula-bearing token spans for DEFINE / BONUS fields.",Fighter level-1 progression can be represented conceptually and linked back to source lines.,GE-02 + GE-03 + GE-04,Grounded in cr_classes.lst lines 139-143.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_class.lst,ABILITY grants for Fighter proficiencies and class-skill package,"Connects Fighter class identity to proficiency grants, class skills, and feature progression.",GE-02 effect + class-feature grant set,partial,high-risk,"Preserve source path, line, class owner, and guard conditions for each grant.",A future model can explain why Fighter gains class skills and proficiencies at level 1.,GE-02 + GE-03,Grounded in cr_abilities_class.lst lines 102 and 236-257.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_skills.lst,"SKILL objects (Acrobatics, Climb)","Defines skill records, key abilities, armor-check behavior, and class-skill bonuses.",GE-02 skill object,deferred,unknown-risk,"Preserve source path, entry name, KEYSTAT, ACHECK, and BONUS lineage.",Pilot skills keep key-stat and class-skill semantics after import.,GE-02 + GE-03 + GE-04,Grounded in cr_skills.lst lines 7 and 10.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_arms_armor.lst,EQUIPMENT object (Chain Shirt),"Defines wearable armor with proficiency link, armor class, armor-check penalty, max Dex, and spell failure.",GE-02 equipment object,deferred,unknown-risk,"Preserve source path, entry name, PROFICIENCY token, armor stats, and bonus lineage.",Pilot equipment preserves armor stats and required proficiency.,GE-02 + GE-03 + GE-04,Grounded in cr_equip_arms_armor.lst line 40.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_arms_armor.lst,EQUIPMENT object (Longsword),"Defines a martial weapon with proficiency link, type facets, cost, damage, and crit profile.",GE-02 equipment object,deferred,unknown-risk,"Preserve source path, entry name, PROFICIENCY token, damage, crit, and wield semantics.",Pilot weapon data retains damage/crit/proficiency semantics.,GE-02 + GE-03 + GE-04,Grounded in cr_equip_arms_armor.lst line 165.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_profs_weapon.lst,WEAPONPROF object (Longsword),Declares the martial weapon proficiency concept referenced by weapon and class-grant surfaces.,GE-02 proficiency concept,deferred,none-expected,"Preserve source path, entry name, and TYPE facets that define proficiency grouping.",Imported weapon references resolve to the same proficiency concept.,GE-02 + GE-03,Grounded in cr_profs_weapon.lst line 57.
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_feats.lst,AUTO:ARMORPROF / AUTO:SHIELDPROF / ability-based weapon prof grants,Automatic grant semantics used by proficiency feats and class-level proficiencies.,GE-02 effect/grant model,partial,high-risk,"Preserve granting surface, grant target, and whether the grant is automatic or feat-mediated.",Pilot import can distinguish granted proficiencies from chosen feats.,GE-02 + GE-03 + GE-04,"Grounded in cr_feats.lst lines 19-21, 150, 155, and 175 plus Fighter grants in cr_abilities_class.lst lines 236-242."
/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_feats.lst,PRE* prerequisite guards,Conditional gating for feats and class-feature suppression.,GE-02 prerequisite model,deferred,high-risk,"Preserve full predicate text, owning object, and source line.",A future importer can render prerequisite guards without flattening them into prose.,GE-02 + GE-03,"Grounded in cr_feats.lst lines 19, 21, and 175 plus cr_abilities_class.lst lines 236-242."
