2026-08-25T05:19:56.266224280 INFO main Main:105 Starting PCGen v6.09.08.RC1
2026-08-25T05:19:57.374220960 INFO main LanguageBundle:134 Initialising language bundle with locale en.
2026-08-25T05:20:00.273201770 INFO main BatchExporter:117 Started export of /tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/e5lit-pcg/gorgon_belt.pcg using /home/ubuntu/workspace/repos/codex/docs/release/SD-33-computed-value-verification/artifacts/epic-5-reverification/fixtures/e5-equip-stats.txt.ftl to /tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/e5lit-out/gorgon_belt.txt
2026-08-25T05:20:00.305852604 INFO main BatchExporter:122 Loading sources [Core Rulebook, Ultimate Equipment] using game mode Pathfinder_RPG
2026-08-25T05:20:00.340455619 INFO main SourceFileLoader:507 Loading game Pathfinder_RPG and sources [Core Rulebook, Ultimate Equipment].
2026-08-25T05:20:00.771887739 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (164): PObject Bardiche not found; .MOD skipped.
2026-08-25T05:20:00.773386535 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (172): PObject Chakram not found; .MOD skipped.
2026-08-25T05:20:00.774049038 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (173): PObject Falcata not found; .MOD skipped.
2026-08-25T05:20:00.774561867 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (174): PObject Khopesh not found; .MOD skipped.
2026-08-25T05:20:00.776226927 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (190): PObject Bayonet not found; .MOD skipped.
2026-08-25T05:20:00.776927277 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (193): PObject Sword Cane not found; .MOD skipped.
2026-08-25T05:20:00.778312336 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (205): PObject Stake not found; .MOD skipped.
2026-08-25T05:20:00.779931465 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (222): PObject Crossbow (Double) not found; .MOD skipped.
2026-08-25T05:20:00.782572357 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (263): PObject Cestus not found; .MOD skipped.
2026-08-25T05:20:00.784257750 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (279): PObject Bardiche not found; .MOD skipped.
2026-08-25T05:20:00.784848036 LSTERROR main LstObjectFileLoader:546 file:/tmp/claude-1000/-home-ubuntu-workspace-repos-codex-docs-release-SD-33-computed-value-verification/4f0cdf7a-3fe1-4f55-bf97-ff5b4ef06582/scratchpad/pcgen-oracle-checkout/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (280): PObject Bec De Corbin not found; .MOD skipped.
