2026-08-25T06:14:58.166657467 INFO main Main:105 Starting PCGen v6.09.08.RC1
2026-08-25T06:15:01.572592652 INFO main LanguageBundle:134 Initialising language bundle with locale en.
2026-08-25T06:15:27.364881922 INFO main BatchExporter:117 Started export of /home/ubuntu/workspace/repos/codex/.claude/worktrees/wf_2bd69306-1da-2/docs/release/SD-33-computed-value-verification/artifacts/epic-5-reverification/fixtures/equipment-literal2-pcg/belt_of_weakness.pcg using /home/ubuntu/workspace/repos/codex/.claude/worktrees/wf_2bd69306-1da-2/docs/release/SD-33-computed-value-verification/artifacts/epic-5-reverification/fixtures/e5-equip-stats.txt.ftl to /tmp/e5-batch-test/out2/belt_of_weakness.txt
2026-08-25T06:15:27.654115572 INFO main BatchExporter:122 Loading sources [Core Rulebook, Ultimate Equipment] using game mode Pathfinder_RPG
2026-08-25T06:15:27.858475389 INFO main SourceFileLoader:507 Loading game Pathfinder_RPG and sources [Core Rulebook, Ultimate Equipment].
2026-08-25T06:15:30.659245160 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (164): PObject Bardiche not found; .MOD skipped.
2026-08-25T06:15:30.661085649 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (172): PObject Chakram not found; .MOD skipped.
2026-08-25T06:15:30.662019338 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (173): PObject Falcata not found; .MOD skipped.
2026-08-25T06:15:30.662992490 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (174): PObject Khopesh not found; .MOD skipped.
2026-08-25T06:15:30.674597 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (190): PObject Bayonet not found; .MOD skipped.
2026-08-25T06:15:30.687485803 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (193): PObject Sword Cane not found; .MOD skipped.
2026-08-25T06:15:30.688778541 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (205): PObject Stake not found; .MOD skipped.
2026-08-25T06:15:30.702932343 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (222): PObject Crossbow (Double) not found; .MOD skipped.
2026-08-25T06:15:30.731500541 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (263): PObject Cestus not found; .MOD skipped.
2026-08-25T06:15:30.743073250 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (279): PObject Bardiche not found; .MOD skipped.
2026-08-25T06:15:30.744445358 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_profs_weapon.lst (280): PObject Bec De Corbin not found; .MOD skipped.
