POOL|Sorcerer Bloodline|selections 53|linked+held 30|lines before 9800|lines after 1040|linked lines: held 6938, NOT-HELD 1822, no converted member rule 0|unlinked lines still printed 1040
POOL|Bloodrager Bloodline|selections 12|linked+held 10|lines before 1880|lines after 220|linked lines: held 1522, NOT-HELD 138, no converted member rule 0|unlinked lines still printed 220
POOL|Cleric Domain|selections 73|linked+held 0|lines before 2960|lines after 2960|linked lines: held 0, NOT-HELD 0, no converted member rule 0|unlinked lines still printed 2960
POOL|Shaman Spirit|selections 14|linked+held 0|lines before 1240|lines after 1240|linked lines: held 0, NOT-HELD 0, no converted member rule 0|unlinked lines still printed 1240
POOL|Warpriest Blessing|selections 37|linked+held 0|lines before 0|lines after 0|linked lines: held 0, NOT-HELD 0, no converted member rule 0|unlinked lines still printed 0
POOL|Cavalier Order|selections 2|linked+held 0|lines before 0|lines after 0|linked lines: held 0, NOT-HELD 0, no converted member rule 0|unlinked lines still printed 0
LINE|Sorcerer|Aberrant Bloodline|1|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|1|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|12|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|1|Aberrant Bloodline ~ Long Limbs|Sorcerer_LongLimbs_Reach|5|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|1|Aberrant Bloodline ~ Unusual Anatomy|Sorcerer_UnusualAnatomy_PercentChance|25|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|2|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|2|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|14|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|2|Aberrant Bloodline ~ Long Limbs|Sorcerer_LongLimbs_Reach|5|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|2|Aberrant Bloodline ~ Unusual Anatomy|Sorcerer_UnusualAnatomy_PercentChance|25|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|3|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|3|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|16|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|3|Aberrant Bloodline ~ Unusual Anatomy|Sorcerer_UnusualAnatomy_PercentChance|25|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|4|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|4|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|18|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|4|Aberrant Bloodline ~ Unusual Anatomy|Sorcerer_UnusualAnatomy_PercentChance|25|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|5|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|5|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|20|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|5|Aberrant Bloodline ~ Unusual Anatomy|Sorcerer_UnusualAnatomy_PercentChance|25|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|6|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|6|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|22|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|6|Aberrant Bloodline ~ Unusual Anatomy|Sorcerer_UnusualAnatomy_PercentChance|25|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|7|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|7|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|24|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|7|Aberrant Bloodline ~ Unusual Anatomy|Sorcerer_UnusualAnatomy_PercentChance|50|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|8|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|8|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|26|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|8|Aberrant Bloodline ~ Unusual Anatomy|Sorcerer_UnusualAnatomy_PercentChance|50|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|9|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|9|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|28|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|10|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|10|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|30|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|11|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|11|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|32|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|12|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|12|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|34|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|13|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|13|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|36|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|14|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|14|Aberrant Bloodline ~ Alien Resistance|Sorcerer_AlienResistance_SR|38|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|15|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|16|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|17|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|18|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Aberrant Bloodline|19|Aberrant Bloodline ~ Aberrant Form|BlindsightRange|60|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|1|Abyssal Bloodline ~ Claws|Sorcerer_GenericClaws_SizeBonus|0|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|1|Abyssal Bloodline ~ Demon Resistances|ElectricityResistanceBonus|0|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|1|Abyssal Bloodline ~ Demon Resistances|Sorcerer_AbyssalDemonResistances_SaveBonus|0|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|1|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|1|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|1|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|1|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|1|Abyssal Bloodline ~ Strength of the Abyss|Sorcerer_AbyssalStrengthOfTheAbyss_StrBonus|0|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|2|Abyssal Bloodline ~ Claws|Sorcerer_GenericClaws_SizeBonus|0|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|2|Abyssal Bloodline ~ Demon Resistances|ElectricityResistanceBonus|5|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|2|Abyssal Bloodline ~ Demon Resistances|Sorcerer_AbyssalDemonResistances_SaveBonus|2|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|2|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|2|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|2|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|2|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|2|Abyssal Bloodline ~ Strength of the Abyss|Sorcerer_AbyssalStrengthOfTheAbyss_StrBonus|0|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|3|Abyssal Bloodline ~ Claws|Sorcerer_GenericClaws_SizeBonus|0|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|3|Abyssal Bloodline ~ Demonic Might|AcidResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|3|Abyssal Bloodline ~ Demonic Might|ColdResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|3|Abyssal Bloodline ~ Demonic Might|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|3|Abyssal Bloodline ~ Demonic Might|TelepathyRange|-40|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|3|Abyssal Bloodline ~ Strength of the Abyss|Sorcerer_AbyssalStrengthOfTheAbyss_StrBonus|0|NOT-HELD
LINE|Sorcerer|Abyssal Bloodline|4|Abyssal Bloodline ~ Claws|Sorcerer_GenericClaws_SizeBonus|1|NOT-HELD
